ProKey,ProName,PrimaryServiceCategory,HomeAreaKey,JoinDate,SkillTier,IsBackgroundVerified,IsActive,AvgRating,LifetimeJobs,LanguagesSpoken,OnboardingChannel,ChurnedDate
1,Lokesh Desai,Appliance Repair,5,2025-11-02,Silver,1,1,4.39,18,Kannada|English,Referral by Pro,
2,Shabbir Ahmed,Deep Cleaning,4,2025-11-05,Bronze,1,1,4.02,15,Urdu|Hindi,Field Recruiter,
3,Sanjay Mishra,Plumber,10,2025-07-18,Bronze,1,1,3.95,7,Hindi|English|Kannada,Job Portal,
4,Praveen Naidu,AC Service,5,2024-10-14,Bronze,1,0,4.04,3,Telugu|Kannada|English,Online Signup,2025-02-17
5,Murugan Raman,AC Service,4,2025-06-16,Silver,1,1,4.18,60,Tamil|Kannada,Online Signup,
6,Shivakumar Kumar,Plumber,7,2024-06-03,Bronze,1,1,4.06,26,Kannada|English,Referral by Pro,
7,Sarita Gupta,Pest Control,14,2026-02-19,Platinum,1,1,4.48,152,Hindi|English|Kannada,Job Portal,
8,Selvam Iyer,Appliance Repair,2,2026-04-19,Gold,1,1,4.37,27,Tamil|Kannada,Partner Agency,
9,Bhuvana Pillai,Deep Cleaning,6,2025-09-03,Gold,0,1,4.20,46,Tamil|Kannada,Field Recruiter,
10,Srinu Rao,Appliance Repair,10,2024-11-30,Gold,1,1,4.24,240,Telugu|Kannada,Job Portal,
11,Sanjay Thakur,Plumber,7,2026-05-04,Gold,1,1,4.10,64,Hindi|English,Partner Agency,
12,Naveen Kulkarni,Electrician,5,2024-10-05,Silver,0,1,4.32,8,Kannada|English,Field Recruiter,
13,Shabbir Sait,Plumber,1,2025-03-19,Bronze,1,1,4.18,25,Urdu|Hindi|Kannada|English,Online Signup,
14,Nagaraj Hegde,Painter,1,2024-06-20,Bronze,0,1,3.97,22,Kannada|English,Walk In,
15,Chandra Naidu,Appliance Repair,1,2025-12-27,Silver,1,1,4.26,3,Telugu|Kannada,Field Recruiter,
16,Venkat Chowdary,Carpenter,1,2024-07-05,Platinum,1,1,4.45,260,Telugu|Kannada,Partner Agency,
17,Manoj Thakur,Appliance Repair,6,2026-07-01,Silver,1,1,4.28,1,Hindi|English,Online Signup,
18,Sai Reddy,Carpenter,6,2024-07-31,Gold,1,1,4.29,157,Telugu|Kannada,Referral by Pro,
19,Kiran Desai,Pest Control,5,2024-06-07,Silver,1,1,3.99,79,Kannada|English|Hindi|Tamil,Field Recruiter,
20,Vignesh Pillai,AC Service,2,2026-04-13,Bronze,1,1,3.91,17,Tamil|Kannada|English,Field Recruiter,
21,Manoj Thakur,AC Service,11,2025-10-07,Silver,1,1,4.08,40,Hindi|English|Kannada|Urdu,Field Recruiter,
22,Vikas Yadav,Plumber,15,2025-09-30,Gold,1,1,4.48,153,Hindi|English,Field Recruiter,
23,Rajanna Gouda,AC Service,2,2024-09-25,Silver,0,1,4.39,110,Kannada|English|Hindi,Job Portal,
24,Sowmya Kulkarni,Plumber,10,2026-01-05,Gold,1,1,4.40,83,Kannada|English,Referral by Pro,
25,Jayanthi Achar,Deep Cleaning,1,2025-10-05,Silver,1,0,4.29,15,Kannada|English|Hindi,Field Recruiter,2026-05-31
26,Umesh Achar,Plumber,7,2026-03-19,Silver,1,1,4.21,38,Kannada|English|Hindi|Tamil,Partner Agency,
